feature,feature_group,dtype,missing_count,missing_pct,unique_values,is_constant,proposed_action,recommended_encoding,implemented,justification
V325,vesta,float64,508189,86.055,13,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V324,vesta,float64,508189,86.055,976,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V327,vesta,float64,508189,86.055,19,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V323,vesta,float64,508189,86.055,1411,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V322,vesta,float64,508189,86.055,881,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V338,vesta,float64,508189,86.055,380,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V339,vesta,float64,508189,86.055,334,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V335,vesta,float64,508189,86.055,672,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V337,vesta,float64,508189,86.055,254,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V328,vesta,float64,508189,86.055,16,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
V332,vesta,float64,508189,86.055,2453,False,KEEP + IMPUTE,none,False,"Moderate missing (86.05%), impute with median/mode"
DeviceInfo,time_delta,object,471874,79.9055,1786,False,ANALYZE,frequency,False,Extract browser/OS information before deciding
id_13,identity,float64,463220,78.4401,54,False,KEEP + IMPUTE,none,False,"Moderate missing (78.44%), impute with median/mode"
id_16,identity,object,461200,78.098,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
V249,vesta,float64,460110,77.9134,23,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V277,vesta,float64,460110,77.9134,2540,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V278,vesta,float64,460110,77.9134,2398,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V248,vesta,float64,460110,77.9134,23,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V275,vesta,float64,460110,77.9134,7776,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V276,vesta,float64,460110,77.9134,2263,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V252,vesta,float64,460110,77.9134,25,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V247,vesta,float64,460110,77.9134,19,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V246,vesta,float64,460110,77.9134,46,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V232,vesta,float64,460110,77.9134,338,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V237,vesta,float64,460110,77.9134,40,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V244,vesta,float64,460110,77.9134,23,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V243,vesta,float64,460110,77.9134,43,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V241,vesta,float64,460110,77.9134,5,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V242,vesta,float64,460110,77.9134,21,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V240,vesta,float64,460110,77.9134,6,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V236,vesta,float64,460110,77.9134,46,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V263,vesta,float64,460110,77.9134,10422,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V262,vesta,float64,460110,77.9134,21,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V261,vesta,float64,460110,77.9134,41,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V264,vesta,float64,460110,77.9134,13358,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V267,vesta,float64,460110,77.9134,3616,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V266,vesta,float64,460110,77.9134,2178,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V269,vesta,float64,460110,77.9134,151,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V265,vesta,float64,460110,77.9134,11757,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V268,vesta,float64,460110,77.9134,2756,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V273,vesta,float64,460110,77.9134,7177,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V274,vesta,float64,460110,77.9134,8315,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V254,vesta,float64,460110,77.9134,45,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V260,vesta,float64,460110,77.9134,9,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V253,vesta,float64,460110,77.9134,66,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V257,vesta,float64,460110,77.9134,49,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V258,vesta,float64,460110,77.9134,67,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V218,vesta,float64,460110,77.9134,401,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V217,vesta,float64,460110,77.9134,304,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V219,vesta,float64,460110,77.9134,379,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V223,vesta,float64,460110,77.9134,17,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V226,vesta,float64,460110,77.9134,81,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V225,vesta,float64,460110,77.9134,35,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V224,vesta,float64,460110,77.9134,79,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V231,vesta,float64,460110,77.9134,294,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V228,vesta,float64,460110,77.9134,55,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V229,vesta,float64,460110,77.9134,91,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V233,vesta,float64,460110,77.9134,333,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V235,vesta,float64,460110,77.9134,24,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
V230,vesta,float64,460110,77.9134,66,False,KEEP + IMPUTE,none,False,"Moderate missing (77.91%), impute with median/mode"
id_05,identity,float64,453675,76.8238,93,False,KEEP + IMPUTE,none,False,"Moderate missing (76.82%), impute with median/mode"
id_06,identity,float64,453675,76.8238,101,False,KEEP + IMPUTE,none,False,"Moderate missing (76.82%), impute with median/mode"
R_emaildomain,email,object,453249,76.7516,60,False,KEEP + ENCODE,ordinal,False,"Categorical feature, ordinal/one-hot encoding"
id_20,identity,float64,451279,76.418,394,False,KEEP + IMPUTE,none,False,"Moderate missing (76.42%), impute with median/mode"
id_19,identity,float64,451222,76.4084,522,False,KEEP + IMPUTE,none,False,"Moderate missing (76.41%), impute with median/mode"
id_17,identity,float64,451171,76.3997,104,False,KEEP + IMPUTE,none,False,"Moderate missing (76.40%), impute with median/mode"
V213,vesta,float64,450909,76.3554,8317,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V215,vesta,float64,450909,76.3554,2747,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V214,vesta,float64,450909,76.3554,2282,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V206,vesta,float64,450909,76.3554,1780,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V183,vesta,float64,450909,76.3554,42,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V168,vesta,float64,450909,76.3554,965,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V173,vesta,float64,450909,76.3554,8,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V181,vesta,float64,450909,76.3554,25,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V212,vesta,float64,450909,76.3554,8868,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V211,vesta,float64,450909,76.3554,7624,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V205,vesta,float64,450909,76.3554,2240,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V207,vesta,float64,450909,76.3554,3246,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V216,vesta,float64,450909,76.3554,2532,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V167,vesta,float64,450909,76.3554,873,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V182,vesta,float64,450909,76.3554,84,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V193,vesta,float64,450909,76.3554,38,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V192,vesta,float64,450909,76.3554,45,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V187,vesta,float64,450909,76.3554,215,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V204,vesta,float64,450909,76.3554,12858,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V202,vesta,float64,450909,76.3554,10970,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V203,vesta,float64,450909,76.3554,14951,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V199,vesta,float64,450909,76.3554,46,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V196,vesta,float64,450909,76.3554,39,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V186,vesta,float64,450909,76.3554,39,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V179,vesta,float64,450909,76.3554,921,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V177,vesta,float64,450909,76.3554,862,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V178,vesta,float64,450909,76.3554,1236,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V176,vesta,float64,450909,76.3554,49,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V172,vesta,float64,450909,76.3554,32,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V191,vesta,float64,450909,76.3554,22,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V190,vesta,float64,450909,76.3554,43,False,KEEP + IMPUTE,none,False,"Moderate missing (76.36%), impute with median/mode"
V175,vesta,float64,450721,76.3235,15,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V209,vesta,float64,450721,76.3235,3451,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V208,vesta,float64,450721,76.3235,2552,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V169,vesta,float64,450721,76.3235,20,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V180,vesta,float64,450721,76.3235,84,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V174,vesta,float64,450721,76.3235,9,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V184,vesta,float64,450721,76.3235,17,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V185,vesta,float64,450721,76.3235,32,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V189,vesta,float64,450721,76.3235,31,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V171,vesta,float64,450721,76.3235,62,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V170,vesta,float64,450721,76.3235,49,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V200,vesta,float64,450721,76.3235,46,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V201,vesta,float64,450721,76.3235,56,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V210,vesta,float64,450721,76.3235,2836,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V197,vesta,float64,450721,76.3235,15,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V198,vesta,float64,450721,76.3235,22,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V194,vesta,float64,450721,76.3235,8,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V188,vesta,float64,450721,76.3235,31,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
V195,vesta,float64,450721,76.3235,17,False,KEEP + IMPUTE,none,False,"Moderate missing (76.32%), impute with median/mode"
id_31,identity,object,450258,76.2451,130,False,ANALYZE,frequency,False,Extract browser/OS information before deciding
DeviceType,time_delta,object,449730,76.1557,2,False,KEEP + ENCODE,ordinal,False,"Categorical feature, ordinal/one-hot encoding"
id_02,identity,float64,449668,76.1452,115655,False,KEEP + IMPUTE,none,False,"Moderate missing (76.15%), impute with median/mode"
id_28,identity,object,449562,76.1273,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_11,identity,float64,449562,76.1273,365,False,KEEP + IMPUTE,none,False,"Moderate missing (76.13%), impute with median/mode"
id_29,identity,object,449562,76.1273,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_15,identity,object,449555,76.1261,3,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_38,identity,object,449555,76.1261,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_36,identity,object,449555,76.1261,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_35,identity,object,449555,76.1261,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_37,identity,object,449555,76.1261,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
V251,vesta,float64,449124,76.0531,19,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V250,vesta,float64,449124,76.0531,19,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V255,vesta,float64,449124,76.0531,46,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V256,vesta,float64,449124,76.0531,48,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V259,vesta,float64,449124,76.0531,68,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V272,vesta,float64,449124,76.0531,2507,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V271,vesta,float64,449124,76.0531,2787,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V270,vesta,float64,449124,76.0531,2340,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V234,vesta,float64,449124,76.0531,122,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V239,vesta,float64,449124,76.0531,24,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V238,vesta,float64,449124,76.0531,24,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V245,vesta,float64,449124,76.0531,58,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V227,vesta,float64,449124,76.0531,50,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V220,vesta,float64,449124,76.0531,26,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V222,vesta,float64,449124,76.0531,76,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
V221,vesta,float64,449124,76.0531,77,False,KEEP + IMPUTE,none,False,"Moderate missing (76.05%), impute with median/mode"
id_12,identity,object,446307,75.5761,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
id_01,identity,float64,446307,75.5761,77,False,KEEP + IMPUTE,none,False,"Moderate missing (75.58%), impute with median/mode"
dist1,distance,float64,352271,59.6524,2651,False,KEEP + IMPUTE,none,False,"Moderate missing (59.65%), impute with median/mode"
M5,binary_flag,object,350482,59.3494,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
M7,binary_flag,object,346265,58.6353,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
M9,binary_flag,object,346252,58.6331,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
M8,binary_flag,object,346252,58.6331,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
D5,time_delta,float64,309841,52.4674,688,False,KEEP + IMPUTE,none,False,"Moderate missing (52.47%), impute with median/mode"
M4,binary_flag,object,281444,47.6588,3,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
D2,time_delta,float64,280797,47.5492,641,False,KEEP,none,False,"Low missing (47.55%), minimal preprocessing"
V11,vesta,float64,279287,47.2935,6,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V3,vesta,float64,279287,47.2935,10,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V4,vesta,float64,279287,47.2935,7,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V6,vesta,float64,279287,47.2935,10,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V5,vesta,float64,279287,47.2935,7,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V10,vesta,float64,279287,47.2935,5,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V1,vesta,float64,279287,47.2935,2,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V9,vesta,float64,279287,47.2935,9,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V8,vesta,float64,279287,47.2935,9,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V2,vesta,float64,279287,47.2935,9,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
V7,vesta,float64,279287,47.2935,10,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
D11,time_delta,float64,279287,47.2935,676,False,KEEP,none,False,"Low missing (47.29%), minimal preprocessing"
M1,binary_flag,object,271100,45.9071,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
M3,binary_flag,object,271100,45.9071,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
M2,binary_flag,object,271100,45.9071,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
D3,time_delta,float64,262878,44.5149,649,False,KEEP,none,False,"Low missing (44.51%), minimal preprocessing"
M6,binary_flag,object,169360,28.6788,2,False,KEEP + ENCODE,onehot,False,"Categorical feature, ordinal/one-hot encoding"
